,release_year,level_1,release_year_top,popularity_top,genres_top
0,1960,261,1960,2.610362,Drama|Horror|Thriller
1,1960,509,1960,1.872132,Action|Adventure|Western
2,1960,510,1960,1.136943,Action|Drama|History
3,1961,3541,1961,2.631987,Adventure|Animation|Comedy|Family
4,1961,81,1961,1.752027,Comedy|Drama|Romance
5,1961,714,1961,0.9002450000000001,Music|Crime|Drama
6,1962,331,1962,3.170651,Adventure|Action|Thriller
7,1962,499,1962,1.1687670000000001,Adventure|Drama|History|War
8,1962,412,1962,0.823779,Drama|Romance
9,1963,337,1963,2.508235,Action|Thriller|Adventure
10,1963,1821,1963,2.1804099999999997,Animation|Family
11,1963,278,1963,1.1393209999999998,Horror
12,1964,338,1964,3.153791,Adventure|Action|Thriller
13,1964,493,1964,2.210475,Drama|Comedy|War
14,1964,212,1964,1.9878189999999998,Comedy|Music|Family|Fantasy
15,1965,339,1965,1.910465,Adventure|Action|Thriller
16,1965,4468,1965,1.313676,Drama|Family|Music|Romance
17,1965,476,1965,1.282053,Drama|Romance|War
18,1966,3861,1966,1.227582,Animation|Family|Comedy
19,1966,708,1966,0.929393,Drama|Science Fiction
20,1966,1056,1966,0.73773,Comedy|Crime|Romance
21,1967,1892,1967,2.550704,Family|Animation|Adventure
22,1967,6845,1967,2.22723,Comedy|Drama|Romance
23,1967,3529,1967,1.9753040000000002,Adventure|Action|Comedy
24,1968,22,1968,3.309196,Science Fiction|Mystery|Adventure
25,1968,462,1968,1.152937,Adventure|Science Fiction|Mystery
26,1968,2551,1968,1.0582719999999999,Horror
27,1969,343,1969,1.778746,Adventure|Action|Thriller
28,1969,329,1969,1.357317,History|Drama|Western|Crime
29,1969,317,1969,0.897684,Action|Adventure|Crime|Drama
30,1970,2418,1970,1.9369619999999999,Animation|Comedy|Family|Adventure
31,1970,694,1970,0.797231,Adventure|Science Fiction|Mystery
32,1970,334,1970,0.717333,Comedy|Drama|War
33,1971,97,1971,3.072555,Science Fiction|Drama
34,1971,132,1971,2.4306669999999997,Family|Fantasy
35,1971,352,1971,1.7551169999999998,Adventure|Action|Thriller|Science Fiction
36,1972,123,1972,5.738034,Drama|Crime
37,1972,2764,1972,0.9493809999999999,Drama|Adventure|Thriller
38,1972,696,1972,0.881814,Action|Science Fiction
39,1973,3411,1973,2.2724860000000002,Animation|Family
40,1973,2052,1973,2.010733,Drama|Horror|Thriller
41,1973,133,1973,1.549139,Adventure|Action|Thriller
42,1974,124,1974,3.264571,Drama|Crime
43,1974,432,1974,1.6508479999999999,Crime|Drama|Mystery|Thriller
44,1974,353,1974,1.6195549999999999,Adventure|Action|Thriller
45,1975,248,1975,3.258151,Drama
46,1975,282,1975,2.5631909999999998,Horror|Thriller|Adventure
47,1975,388,1975,2.234953,Adventure|Comedy|Fantasy
48,1976,50,1976,2.5826569999999998,Crime|Drama
49,1976,571,1976,2.389663,Drama
50,1976,1490,1976,1.263483,Horror|Thriller
51,1977,2,1977,12.037933,Adventure|Action|Science Fiction
52,1977,357,1977,2.379469,Adventure|Action|Thriller
53,1977,3125,1977,1.719385,Fantasy|Family|Animation|Adventure
54,1978,314,1978,1.697618,Music
55,1978,283,1978,1.5627,Horror|Thriller
56,1978,485,1978,1.210531,Horror
57,1979,182,1979,4.935897,Horror|Action|Thriller|Science Fiction
58,1979,16,1979,2.3195200000000002,Drama|War
59,1979,2122,1979,2.012021,Adventure|Action|Thriller|Science Fiction
60,1980,769,1980,5.488441000000001,Adventure|Action|Science Fiction
61,1980,360,1980,2.4320009999999996,Horror|Thriller
62,1980,421,1980,1.636256,Comedy|Romance
63,1981,40,1981,4.5783,Adventure|Action
64,1981,7096,1981,1.94717,Romance|Comedy
65,1981,364,1981,1.771093,Adventure|Action|Thriller
66,1982,36,1982,4.215642,Science Fiction|Drama|Thriller
67,1982,299,1982,2.900556,Science Fiction|Adventure|Family|Fantasy
68,1982,533,1982,2.355353,Horror|Science Fiction|Mystery|Thriller
69,1983,770,1983,4.828854,Adventure|Action|Science Fiction
70,1983,55,1983,3.178818,Action|Crime|Drama|Thriller
71,1983,6798,1983,1.774018,Adventure|Action|Thriller
72,1984,114,1984,4.831966,Action|Thriller|Science Fiction
73,1984,41,1984,2.5567990000000003,Adventure|Action
74,1984,313,1984,2.484654,Fantasy|Action|Comedy|Science Fiction|Family
75,1985,51,1985,6.095293,Adventure|Comedy|Science Fiction|Family
76,1985,876,1985,2.834739,Comedy|Drama
77,1985,253,1985,1.7536880000000001,Adventure|Fantasy
78,1986,350,1986,2.485419,Horror|Action|Thriller|Science Fiction
79,1986,1551,1986,1.528427,Adventure|Action|Fantasy
80,1986,406,1986,1.522478,Drama|War|Action
81,1987,52,1987,3.474728,Science Fiction|Action|Adventure|Thriller
82,1987,298,1987,2.0267,Drama|War
83,1987,42,1987,1.945847,Drama|Music|Romance
84,1988,273,1988,3.7774410000000005,Action|Thriller
85,1988,930,1988,2.1506819999999998,Fantasy|Drama|Comedy|Romance|Family
86,1988,6833,1988,1.9058830000000002,Action|Comedy|Crime
87,1989,2439,1989,4.143585,Animation|Family
88,1989,43,1989,3.536655,Adventure|Action
89,1989,326,1989,2.719764,Comedy|Romance|Drama
90,1990,453,1990,2.679627,Action|Adventure|Science Fiction
91,1990,395,1990,2.659926,Drama|Crime
92,1990,638,1990,2.535646,Action|Thriller
93,1991,2365,1991,3.852269,Romance|Family|Animation|Fantasy|Music
94,1991,144,1991,3.584406,Action|Thriller|Science Fiction
95,1991,466,1991,2.326917,Adventure|Fantasy|Comedy|Family
96,1992,238,1992,4.586426,Crime|Thriller
97,1992,420,1992,3.966538,Animation|Family|Comedy|Adventure|Fantasy
98,1992,397,1992,3.822939,Comedy|Family|Adventure|Crime
99,1993,68,1993,2.571339,Romance|Fantasy|Drama|Comedy
100,1993,2003,1993,2.455618,Fantasy|Animation|Family
101,1993,208,1993,2.377288,Drama|History|War
102,1994,351,1994,8.093753999999999,Thriller|Crime
103,1994,142,1994,7.192039,Drama|Crime
104,1994,4,1994,6.715966000000001,Comedy|Drama|Romance
105,1995,415,1995,4.765358999999999,Crime|Mystery|Thriller
106,1995,454,1995,4.282462000000001,Animation|Comedy|Family
107,1995,321,1995,3.440238,Drama|Crime|Thriller
108,1996,300,1996,4.480733,Action|Adventure|Science Fiction
109,1996,505,1996,3.293387,Adventure|Action|Thriller
110,1996,319,1996,2.94792,Drama|Crime
111,1997,3953,1997,6.668989999999999,Comedy
112,1997,297,1997,4.355219,Drama|Romance|Thriller
113,1997,3457,1997,3.4889099999999997,Animation|Family|Fantasy|Adventure|Comedy
114,1998,6836,1998,4.180540000000001,Comedy|Drama
115,1998,45,1998,2.993102,Action|Thriller|Science Fiction|Adventure
116,1998,2768,1998,2.770692,Animation|Family|Adventure
117,1999,267,1999,8.947905,Drama
118,1999,301,1999,7.7538990000000005,Action|Science Fiction
119,1999,5,1999,3.5557199999999995,Drama
120,2000,48,2000,4.271452,Action|Drama|Adventure
121,2000,35,2000,3.095625,Mystery|Thriller
122,2000,1723,2000,2.977558,Family|Comedy|Fantasy
123,2001,61,2001,8.575419,Adventure|Fantasy|Action
124,2001,344,2001,8.021423,Adventure|Fantasy|Family
125,2001,523,2001,4.436367,Thriller|Drama|Mystery
126,2002,62,2002,8.095275,Adventure|Fantasy|Action
127,2002,345,2002,6.0125839999999995,Adventure|Fantasy|Family
128,2002,209,2002,4.467512999999999,Animation|Comedy|Family|Adventure
129,2003,63,2003,7.122455,Adventure|Fantasy|Action
130,2003,141,2003,6.887883,Fantasy|Action|Thriller
131,2003,11,2003,6.8640669999999995,Adventure|Fantasy|Action
132,2004,346,2004,5.827781,Adventure|Fantasy|Family
133,2004,192,2004,4.535598,Action|Crime|Thriller
134,2004,2224,2004,3.9904879999999996,Comedy|Romance
135,2005,347,2005,5.939927,Adventure|Fantasy|Family
136,2005,138,2005,5.400826,Action|Crime|Drama
137,2005,203,2005,3.6287260000000003,Adventure|Family|Fantasy
138,2006,433,2006,5.838503,Fantasy|Action|Science Fiction|Thriller
139,2006,20,2006,4.205992,Adventure|Fantasy|Action
140,2006,482,2006,3.941265,Animation|Adventure|Comedy|Family
141,2007,147,2007,4.965391,Adventure|Fantasy|Action
142,2007,348,2007,4.8781620000000006,Adventure|Fantasy|Family|Mystery
143,2007,856,2007,2.764535,Animation|Comedy|Family|Fantasy
144,2008,76,2008,8.466667999999999,Drama|Action|Crime|Thriller
145,2008,2775,2008,5.678119000000001,Animation|Family
146,2008,715,2008,4.977955000000001,Action|Science Fiction|Adventure
147,2009,5346,2009,9.432768,Action|Adventure|Fantasy|Science Fiction
148,2009,4830,2009,6.098027,Drama|Action|Thriller|War
149,2009,3577,2009,5.806897,Fantasy|Action|Adventure|Science Fiction|Thriller
150,2010,6166,2010,9.363643,Action|Thriller|Science Fiction|Mystery|Adventure
151,2010,2434,2010,5.70486,Adventure|Action|Science Fiction
152,2010,3507,2010,5.57295,Family|Fantasy|Adventure
153,2011,9182,2011,8.411577000000001,Action|Animation|Horror
154,2011,723,2011,7.9592279999999995,Action|Adventure|Science Fiction
155,2011,7916,2011,5.903353,Drama|Action|Thriller|Crime
156,2012,5836,2012,7.637767,Science Fiction|Action|Adventure
157,2012,7610,2012,7.031452000000001,Fantasy|Action|Horror
158,2012,7462,2012,6.591277000000001,Action|Crime|Drama|Thriller
159,2013,8684,2013,6.112766000000001,Animation|Adventure|Family
160,2013,7465,2013,5.2427529999999996,Science Fiction|Thriller|Drama
161,2013,8176,2013,5.1119,Action|Adventure|Fantasy
162,2014,9108,2014,24.949134,Adventure|Drama|Science Fiction
163,2014,8767,2014,14.311205,Action|Science Fiction|Adventure
164,2014,8596,2014,12.971027000000001,Action|Adventure|Science Fiction
165,2015,8935,2015,32.985763,Action|Adventure|Science Fiction|Thriller
166,2015,8177,2015,28.419936,Action|Adventure|Science Fiction|Thriller
167,2015,10054,2015,13.112507,Adventure|Science Fiction|Thriller
